day,month,year,Temperature,RH,Ws,Rain,FFMC,DMC,DC,ISI,BUI,FWI,Classes
24,06,2012,32,66,17,0,85.9,11.2,55.8,5.6,14.9,7.5,fire   
25,06,2012,31,64,15,0,86.7,14.2,63.8,5.7,18.3,8.4,fire   
26,06,2012,31,64,18,0,86.8,17.8,71.8,6.7,21.6,10.6,fire   
27,06,2012,34,53,18,0,89,21.6,80.3,9.2,25.8,15,fire   
28,06,2012,32,55,14,0,89.1,25.5,88.5,7.6,29.7,13.9,fire   
29,06,2012,32,47,13,0.3,79.9,18.4,84.4,2.2,23.8,3.9,not fire   
30,06,2012,33,50,14,0,88.7,22.9,92.8,7.2,28.3,12.9,fire   
01,07,2012,29,68,19,1,59.9,2.5,8.6,1.1,2.9,0.4,not fire   
02,07,2012,27,75,19,1.2,55.7,2.4,8.3,0.8,2.8,0.3,not fire   
03,07,2012,32,76,20,0.7,63.1,2.6,9.2,1.3,3,0.5,not fire   
04,07,2012,33,78,17,0,80.1,4.6,18.5,2.7,5.7,1.7,not fire   
05,07,2012,33,66,14,0,85.9,7.6,27.9,4.8,9.1,4.9,fire   
06,07,2012,32,63,14,0,87,10.9,37,5.6,12.5,6.8,fire   
07,07,2012,35,64,18,0.2,80,9.7,40.4,2.8,12.1,3.2,not fire   
08,07,2012,33,68,19,0,85.6,12.5,49.8,6,15.4,8,fire   
09,07,2012,32,68,14,1.4,66.6,7.7,9.2,1.1,7.4,0.6,not fire   
10,07,2012,33,69,13,0.7,66.6,6,9.3,1.1,5.8,0.5,not fire   
11,07,2012,33,76,14,0,81.1,8.1,18.7,2.6,8.1,2.2,not fire   
12,07,2012,31,75,13,0.1,75.1,7.9,27.7,1.5,9.2,0.9,not fire   
13,07,2012,34,81,15,0,81.8,9.7,37.2,3,11.7,3.4,not fire   
14,07,2012,34,61,13,0.6,73.9,7.8,22.9,1.4,8.4,0.8,not fire   
15,07,2012,30,80,19,0.4,60.7,5.2,17,1.1,5.9,0.5,not fire   
16,07,2012,28,76,21,0,72.6,7,25.5,0.7,8.3,0.4,not fire   
17,07,2012,29,70,14,0,82.8,9.4,34.1,3.2,11.1,3.6,fire   
18,07,2012,31,68,14,0,85.4,12.1,43.1,4.6,14.2,6,fire   
19,07,2012,35,59,17,0,88.1,12,52.8,7.7,18.2,10.9,fire   
20,07,2012,33,65,15,0.1,81.4,12.3,62.1,2.8,16.5,4,fire   
21,07,2012,33,70,17,0,85.4,18.5,71.5,5.2,22.4,8.8,fire   
22,07,2012,28,79,18,0.1,73.4,16.4,79.9,1.8,21.7,2.8,not fire   
23,07,2012,27,66,22,0.4,68.2,10.5,71.3,1.8,15.4,2.1,not fire   
24,07,2012,28,78,16,0.1,70,9.6,79.7,1.4,14.7,1.3,not fire   
25,07,2012,31,65,18,0,84.3,12.5,88.7,4.8,18.5,7.3,fire   
26,07,2012,36,53,19,0,89.2,17.1,98.6,10,23.9,15.3,fire   
27,07,2012,36,48,13,0,90.3,22.2,108.5,8.7,29.4,15.3,fire   
28,07,2012,33,76,15,0,86.5,24.4,117.8,5.6,32.1,11.3,fire   
29,07,2012,32,73,15,0,86.6,26.7,127,5.6,35,11.9,fire   
30,07,2012,31,79,15,0,85.4,28.5,136,4.7,37.4,10.7,fire   
31,07,2012,35,64,17,0,87.2,31.9,145.7,6.8,41.2,15.7,fire   
01,08,2012,36,45,14,0,78.8,4.8,10.2,2,4.7,0.9,not fire   
02,08,2012,35,55,12,0.4,78,5.8,10,1.7,5.5,0.8,not fire   
03,08,2012,35,63,14,0.3,76.6,5.7,10,1.7,5.5,0.8,not fire   
04,08,2012,34,69,13,0,85,8.2,19.8,4,8.2,3.9,fire   
05,08,2012,34,65,13,0,86.8,11.1,29.7,5.2,11.5,6.1,fire   
06,08,2012,32,75,14,0,86.4,13,39.1,5.2,14.2,6.8,fire   
07,08,2012,32,69,16,0,86.5,15.5,48.6,5.5,17.2,8,fire   
08,08,2012,32,60,18,0.3,77.1,11.3,47,2.2,14.1,2.6,not fire   
09,08,2012,35,59,17,0,87.4,14.8,57,6.9,17.9,9.9,fire   
10,08,2012,35,55,14,0,88.9,18.6,67,7.4,21.9,11.6,fire   
11,08,2012,35,63,13,0,88.9,21.7,77,7.1,25.5,12.1,fire   
12,08,2012,35,51,13,0.3,81.3,15.6,75.1,2.5,20.7,4.2,not fire   
13,08,2012,35,63,15,0,87,19,85.1,5.9,24.4,10.2,fire   
14,08,2012,33,66,14,0,87,21.7,94.7,5.7,27.2,10.6,fire   
15,08,2012,36,55,13,0.3,82.4,15.6,92.5,3.7,22,6.3,fire   
16,08,2012,36,61,18,0.3,80.2,11.7,90.4,2.8,17.6,4.2,fire   
17,08,2012,37,52,18,0,89.3,16,100.7,9.7,22.9,14.6,fire   
18,08,2012,36,54,18,0,89.4,20,110.9,9.7,27.5,16.1,fire   
19,08,2012,35,62,19,0,89.4,23.2,120.9,9.7,31.3,17.2,fire   
20,08,2012,35,68,19,0,88.3,25.9,130.6,8.8,34.7,16.8,fire   
21,08,2012,36,58,19,0,88.6,29.6,141.1,9.2,38.8,18.4,fire   
22,08,2012,36,55,18,0,89.1,33.5,151.3,9.9,43.1,20.4,fire   
23,08,2012,36,53,16,0,89.5,37.6,161.5,10.4,47.5,22.3,fire
24,08,2012,34,64,14,0,88.9,40.5,171.3,9,50.9,20.9,fire   
25,08,2012,35,60,15,0,88.9,43.9,181.3,8.2,54.7,20.3,fire
26,08,2012,31,78,18,0,85.8,45.6,190.6,4.7,57.1,13.7,fire 
27,08,2012,33,82,21,0,84.9,47,200.2,4.4,59.3,13.2,fire
28,08,2012,34,64,16,0,89.4,50.2,210.4,7.3,62.9,19.9,fire 
29,08,2012,35,48,18,0,90.1,54.2,220.4,12.5,67.4,30.2,fire   
30,08,2012,35,70,17,0.8,72.7,25.2,180.4,1.7,37.4,4.2,not fire   
31,08,2012,28,80,21,16.8,52.5,8.7,8.7,0.6,8.3,0.3,not fire
01,09,2012,25,76,17,7.2,46,1.3,7.5,0.2,1.8,0.1,not fire 
02,09,2012,22,86,15,10.1,30.5,0.7,7,0,1.1,0,not fire
03,09,2012,25,78,15,3.8,42.6,1.2,7.5,0.1,1.7,0,not fire   
04,09,2012,29,73,17,0.1,68.4,1.9,15.7,1.4,2.9,0.5,not fire   
05,09,2012,29,75,16,0,80.8,3.4,24,2.8,5.1,1.7,fire   
06,09,2012,29,74,19,0.1,75.8,3.6,32.2,2.1,5.6,0.9,not fire   
07,09,2012,31,71,17,0.3,69.6,3.2,30.1,1.5,5.1,0.6,not fire   
08,09,2012,30,73,17,0.9,62,2.6,8.4,1.1,3,0.4,not fire   
09,09,2012,30,77,15,1,56.1,2.1,8.4,0.7,2.6,0.2,not fire   
10,09,2012,33,73,12,1.8,59.9,2.2,8.9,0.7,2.7,0.3,not fire   
11,09,2012,30,77,21,1.8,58.5,1.9,8.4,1.1,2.4,0.3,not fire   
12,09,2012,29,88,13,0,71,2.6,16.6,1.2,3.7,0.5,not fire   
13,09,2012,25,86,21,4.6,40.9,1.3,7.5,0.1,1.8,0,not fire   
14,09,2012,22,76,26,8.3,47.4,1.1,7,0.4,1.6,0.1,not fire   
15,09,2012,24,82,15,0.4,44.9,0.9,7.3,0.2,1.4,0,not fire   
16,09,2012,30,65,14,0,78.1,3.2,15.7,1.9,4.2,0.8,not fire   
17,09,2012,31,52,14,0,87.7,6.4,24.3,6.2,7.7,5.9,fire   
18,09,2012,32,49,11,0,89.4,9.8,33.1,6.8,11.3,7.7,fire   
19,09,2012,29,57,14,0,89.3,12.5,41.3,7.8,14.2,9.7,fire   
20,09,2012,28,84,18,0,83.8,13.5,49.3,4.5,16,6.3,fire
21,09,2012,31,55,11,0,87.8,16.5,57.9,5.4,19.2,8.3,fire   
22,09,2012,31,50,19,0.6,77.8,10.6,41.4,2.4,12.9,2.8,not fire   
23,09,2012,32,54,11,0.5,73.7,7.9,30.4,1.2,9.6,0.7,not fire   
24,09,2012,29,65,19,0.6,68.3,5.5,15.2,1.5,5.8,0.7,not fire   
25,09,2012,26,81,21,5.8,48.6,3,7.7,0.4,3,0.1,not fire   
26,09,2012,31,54,11,0,82,6,16.3,2.5,6.2,1.7,not fire   
27,09,2012,31,66,11,0,85.7,8.3,24.9,4,9,4.1,fire   
28,09,2012,32,47,14,0.7,77.5,7.1,8.8,1.8,6.8,0.9,not fire   
29,09,2012,26,80,16,1.8,47.4,2.9,7.7,0.3,3,0.1,not fire   
30,09,2012,25,78,14,1.4,45,1.9,7.5,0.2,2.4,0.1,not fire
